,Postleitzahl,Ort,Name,Straße,Anzahl Empfehlungen,Latitude,Longitude,Komplette Addresse
1117,90403,Nürnberg,Kalahua TraumEis,Äußerer Läufer Platz 15,9,49.4575548,11.0869108,"Kalahua TraumEis, Äußerer Läufer Platz 15, 90403 Nürnberg"
1118,90403,Nürnberg,Buonissimo,Plobenhofstr. 6,3,49.4536218999999,11.078017,"Buonissimo, Plobenhofstr. 6, 90403 Nürnberg"
1119,90403,Nürnberg,Die Kleine Eismanufaktur,Weißgerbergasse 28,25,49.4551509,11.0722552,"Die Kleine Eismanufaktur, Weißgerbergasse 28, 90403 Nürnberg"
1120,90403,Nürnberg,Gelateria 4D,Spitalgasse 1,3,49.4534081,11.0783411,"Gelateria 4D, Spitalgasse 1, 90403 Nürnberg"
1121,90408,Nürnberg,Il Gelato,Kaulbachstr. 29,127,49.4630204,11.0770358,"Il Gelato, Kaulbachstr. 29, 90408 Nürnberg"
1122,90409,Nürnberg,Eiscafe Val Gardena,Äußere Bayreuther Str. 103,7,49.471655,11.1021,"Eiscafe Val Gardena, Äußere Bayreuther Str. 103, 90409 Nürnberg"
1123,90409,Nürnberg,Piccolo Palladio,Pirckheimerstr. 112,4,49.4612874,11.0889629,"Piccolo Palladio, Pirckheimerstr. 112, 90409 Nürnberg"
1124,90419,Nürnberg,Eis im Glück,Bucherstr. 45,76,49.4624365,11.0712463,"Eis im Glück, Bucherstr. 45, 90419 Nürnberg"
1125,90427,Nürnberg,Campo-Eis,Schnieglinger Straße 245,15,49.4681,11.02736,"Campo-Eis, Schnieglinger Straße 245, 90427 Nürnberg"
1126,90451,Nürnberg,Eisboutique Bedolli,Eibacher Hauptstr. 98,19,49.4003526,11.0365213,"Eisboutique Bedolli, Eibacher Hauptstr. 98, 90451 Nürnberg"
1127,90482,Nürnberg,Dolomiddi,Winner Zeile 1,12,49.4679929,11.159214,"Dolomiddi, Winner Zeile 1, 90482 Nürnberg"
1128,90482,Nürnberg,Eisdiele Cristallo,Ostendstr. 227,12,49.4601584,11.1315605,"Eisdiele Cristallo, Ostendstr. 227, 90482 Nürnberg"
1129,90489,Nürnberg,Eis im Glück,Fenitzerplatz 4,14,49.46174,11.09877,"Eis im Glück, Fenitzerplatz 4, 90489 Nürnberg"
1130,90518,Altdorf bei Nürnberg,Eiscafe Dolomiti,Oberer Markt 11,3,49.385359,11.3554743,"Eiscafe Dolomiti, Oberer Markt 11, 90518 Altdorf bei Nürnberg"
1131,90537,Feucht,Eis-Center,Hauptstr. 23,3,49.3761575,11.2129298,"Eis-Center, Hauptstr. 23, 90537 Feucht"
1132,90537,Feucht,Tischner Eis Cafe Bistro,Hauptstr. 5,7,49.3773154,11.2116682,"Tischner Eis Cafe Bistro, Hauptstr. 5, 90537 Feucht"
1133,90556,Cadolzburg,Loisl's Eiscafe,Marktplatz 17,6,49.4580379,10.8521941,"Loisl's Eiscafe, Marktplatz 17, 90556 Cadolzburg"
1134,90617,Puschendorf,Eis-Carlo,Neustädter Str. 31,3,49.52467,10.82626,"Eis-Carlo, Neustädter Str. 31, 90617 Puschendorf"
1135,90763,Fürth,Dolomiddi,Kaiserstr. 45,6,49.4629266,10.9888681,"Dolomiddi, Kaiserstr. 45, 90763 Fürth"
1136,91054,Erlangen,Eis Venezia,Bayreuther Str. 29,4,49.6054705,11.0045985,"Eis Venezia, Bayreuther Str. 29, 91054 Erlangen"
